feature_id	mz	rt	adduct	formula	fold_change	p_value	ratio	is_differential
QEHF0001	371.1617	18.85	[M-H]+	C21H26N2S2	0.474166236	0.000481081	1\2	1
QEHF0002	442.2233	17.66	[M-H]+	C25H31NO6	21.23098161	1.25E-06	16\1	1
QEHF0003	292.1118	3.01	[M-H]+	C14H17N3O2S	1.905321527	0.019355873	2\1	1
QEHF0004	502.2395	22.78	[M-H]+	C27H31N7OS	1.062849335	0.28986551	1\1	0
QEHF0005	342.1706	3.37	[M-H]+	C20H23NO4	1.066033105	0.399051872	1\1	0
QEHF0006	455.1791	17.2	[M-H]+	C20H22N8O5	0.932390302	0.098452281	1\1	0
QEHF0007	408.1344	29.02	[M-H]+	C21H24ClO6	0.835627887	0.156712476	1\1	0
QEHF0008	359.2447	0.58	[M-H]+	C20H30N4O2	0.987862097	0.84745583	1\1	0
QEHF0009	527.3126	26.96	[M-H]+	C31H38N6O2	0.85373701	0.15089754	1\1	0
QEHF0010	571.3155	5.54	[M-H]+	C31H38N8O3	1.007478852	0.932428468	1\1	0
QEHF0011	360.9916	28.92	[M-H]+	C14H11Cl3N2O3	0.950412216	0.462776015	1\1	0
QEHF0012	312.1234	23.36	[M-H]+	C18H17NO4	0.667123798	0.073136053	1\1	0
QEHF0013	205.0975	3.34	[M-H]+	C11H12N2O2	0.910743602	0.113022574	1\1	0
QEHF0014	338.0867	3.32	[M-H]+	C15H20BrN3O	0.93856426	0.406225243	1\1	0
QEHF0015	444.0999	19.69	[M-H]+	C17H11F6N7O	1.051869161	0.360406413	1\1	0
QEHF0016	397.1778	4.69	[M-H]+	C23H20N6O	0.767617991	0.031654759	1\1	0
QEHF0017	454.2245	3.35	[M-H]+	C27H27N5O2	1.182287159	0.041743356	1\1	0
QEHF0018	442.2246	3.3	[M-H]+	C26H27N5O2	1.141692818	0.010995052	1\1	0
QEHF0019	510.2657	3.69	[M-H]+	C26H35N7O2S	1.070045324	0.165572861	1\1	0
QEHF0020	310.1077	23.76	[M-H]+	C18H15NO4	1.033226035	0.143532382	1\1	0
QEHF0021	200.1107	3.34	[M-H]+	C10H17NOS	0.910230512	0.111675003	1\1	0
QEHF0022	309.1601	4.45	[M-H]+	C19H20N2O2	0.859326577	0.071587851	1\1	0
QEHF0023	478.0977	22.77	[M-H]+	C21H15F4N5O2S	0.228682024	0.19970968	1\4	1
QEHF0024	329.1535	0.58	[M-H]+	C15H24N2O4S	0.990321258	0.707340093	1\1	0
QEHF0025	374.2121	19.36	[M-H]+	C25H27NO2	0.978928327	0.715935832	1\1	0
QEHF0026	408.1383	26.89	[M-H]+	C22H21N3O3S	1.007933919	0.711098387	1\1	0
QEHF0027	313.1736	12.3	[M-H]+	C19H24N2S	4.122201308	5.06E-05	4\1	1
QEHF0028	453.2091	15.47	[M-H]+	C24H30F2O6	0.052710335	7.36E-07	1\16	1
QEHF0029	495.2201	25.94	[M-H]+	C26H32F2O7	0.448253025	6.47E-05	1\2	1
QEHF0030	376.1461	12.76	[M-H]+	C21H23ClFNO2	1.069313831	0.160033537	1\1	0
QEHF0031	531.1575	12.31	[M-H]+	C26H28Cl2N4O4	0.946336564	0.542366595	1\1	0
QEHF0032	407.2218	3.35	[M-H]+	C18H34N2O6S	0.255373969	1.24E-05	1\4	1
QEHF0033	345.2429	24.87	[M-H]+	C22H32O3	0.549761788	8.78E-06	1\2	1
QEHF0034	268.1912	3.99	[M-H]+	C15H25NO3	2.205350822	0.000104002	2\1	1
QEHF0035	416.9913	24.69	[M-H]+	C18H14Cl4N2O	3.680613866	5.23E-07	4\1	1
QEHF0036	264.1751	12.14	[M-H]+	C19H21N	0.266396952	5.77E-05	1\4	1
QEHF0037	320.141	3.46	[M-H]+	C16H18FN3O3	22.46492051	1.7E-07	16\1	1
QEHF0038	414.1554	5.18	[M-H]+	C22H23NO7	0.795765116	0.031954143	1\1	0
QEHF0039	270.1856	9.97	[M-H]+	C18H23NO	0.887000598	0.050105896	1\1	0
QEHF0040	261.1965	6.83	[M-H]+	C16H24N2O	12.58958934	2.27E-08	16\1	1
QEHF0041	340.1549	4.97	[M-H]+	C20H21NO4	0.115235939	3.26E-05	1\4	1
QEHF0042	214.1091	5.47	[M-H]+	C11H11N5	0.060420624	1.24E-06	1\16	1
QEHF0043	288.2324	9.91	[M-H]+	C19H29NO	3.429994748	7.46E-06	4\1	1
QEHF0044	315.2323	28.05	[M-H]+	C21H30O2	0.460763959	0.000638627	1\2	1
QEHF0045	286.1917	4.29	[M-H]+	C17H23N3O	9.205316087	1.89E-06	16\1	1
QEHF0046	277.0646	6.39	[M-H]+	C13H12N2O3S	0.508065057	0.000159105	1\2	1
