id	formula	adduct	mz	rt	fold_change	p-value	ratio		
TTOF0001	C19H24N2S	+H	313.1734	12.32	4.44	0.000	4/1		
TTOF0002	C24H30F2O6	+H	453.2079	15.8	0.05	0.000	1/16		
TTOF0003	C26H32F2O7	+H	495.2184	26.07	0.54	0.001	1/2		
TTOF0004	C21H23ClFNO2	+H	376.1464	12.96	1.35	0.014	1/1		
TTOF0005	C26H28Cl2N4O4	+H	531.1562	12.46	1.17	0.284	1/1		
TTOF0006	C18H34N2O6S	+H	407.2227	3.3	0.28	0.000	1/4		
TTOF0007	C20H23N	+H	278.1905	12.39	0.54	0.000	1/2		
TTOF0008	C22H32O3	+H	345.2421	25.02	0.54	0.000	1/2		
TTOF0009	C15H25NO3	+H	268.1907	3.94	2.06	0.001	2/1		
TTOF0010	C18H14Cl4N2O	+H	416.9905	24.58	3.91	0.000	4/1		
TTOF0011	C19H21N	+H	264.1749	12.18	0.27	0.000	1/4		
TTOF0012	C16H18FN3O3	+H	320.1409	3.42	16.15	0.000	16/1		
TTOF0013	C22H23NO7	+H	414.1546	5.18	0.99	0.936	1/1		
TTOF0014	C18H23NO	+H	270.1851	10	0.92	0.300	1/1		
TTOF0015	C16H24N2O	+H	261.1963	6.83	12.67	0.000	16/1		
TTOF0016	C20H21NO4	+H	340.1543	4.95	0.09	0.000	1/16		
TTOF0017	C11H11N5	+H	214.1088	5.53	0.09	0.000	1/16		
TTOF0018	C21H28O5	+H	361.1992	8.59	18.50	0.000	16/1		
TTOF0019	C19H29NO	+H	288.2323	9.9	4.07	0.000	4/1		
TTOF0020	C21H30O2	+H	315.2316	28.13	0.54	0.001	1/2		
TTOF0021	C17H23N3O	+H	286.1914	4.3	14.44	0.000	16/1		
TTOF0022	C12H13ClN4	+H	249.0903	4.99	1.34	0.006	1/1		
TTOF0023	C13H12N2O3S	+H	277.0641	6.57	0.47	0.000	1/2		
TTOF0024	C18H14N4O5S	+H	399.0755	11.84	0.27	0.000	1/4		
TTOF0025	C21H26N2S2	+H	371.1612	18.84	0.55	0.000	1/2		
TTOF0026	C13H24N4O3S	+H	317.1642	3.75	0.06	0.000	1/16		
TTOF0027	C21H24F3N3S	+H	408.1716	17	16.61	0.000	16/1		
TTOF0028	C20H31NO	+H	302.248	11.24	0.27	0.000	1/4		
TTOF0029	C16H21N3	+H	256.1808	4.2	15.22	0.000	16/1		
TTOF0030	C19H22N2	+H	279.1856	5.1	1.01	0.828	1/1		
TTOF0031	C16H24N2	+H	245.2014	9.47	3.89	0.000	4/1		
TTOF0032	C10H13NO2	+H	180.1017	5.91	0.07	0.000	1/16		
TTOF0033	C21H26N2O3	+H	355.2015	4.36	1.91	0.001	2/1		
TTOF0034	C18H28N2O4	+H	337.2121	3.78	0.07	0.000	1/16		
TTOF0035	C19H19NOS	+H	310.1261	5.6	1.08	0.436	1/1		
